Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.000
10.000 90.435 12.671
20.000 91.728 21.618
30.000 93.841 34.747
40.000 96.718 52.942
50.000 100.289 67.516
60.000 104.478 71.801
70.000 109.207 73.080
80.000 114.404 73.271
90.000 120.000 73.330
100.000 125.932 73.254
110.000 132.145 69.653
120.000 138.590 32.212
130.000 145.225 25.293
140.000 152.009 71.430
150.000 158.909 73.433
160.000 165.894 73.583
170.000 172.933 73.846
180.000 180.000 73.832
