Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 51.978
10.000 10.000 45.887
20.000 20.000 38.155
30.000 30.000 23.138
40.000 40.000 9.293
50.000 50.000 5.892
60.000 60.000 22.224
70.000 70.000 33.108
80.000 80.000 41.759
90.000 90.000 47.013
100.000 100.000 44.886
110.000 110.000 35.784
120.000 120.000 24.808
130.000 130.000 14.758
140.000 140.000 19.009
150.000 150.000 32.785
160.000 160.000 46.673
170.000 170.000 55.204
180.000 180.000 58.664
