Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 21.594
10.000 90.435 21.558
20.000 91.728 32.551
30.000 93.841 53.273
40.000 96.718 67.028
50.000 100.289 68.449
60.000 104.478 63.482
70.000 109.207 40.459
80.000 114.404 7.522
90.000 120.000 48.517
100.000 125.932 72.063
110.000 132.145 72.820
120.000 138.590 72.555
130.000 145.225 65.118
140.000 152.009 15.075
150.000 158.909 64.252
160.000 165.894 72.955
170.000 172.933 73.146
180.000 180.000 73.265
