Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 41.458
10.000 90.435 48.929
20.000 91.728 47.130
30.000 93.841 45.271
40.000 96.718 40.252
50.000 100.289 52.972
60.000 104.478 55.279
70.000 109.207 71.324
80.000 114.404 69.918
90.000 120.000 70.202
100.000 125.932 72.268
110.000 132.145 72.512
120.000 138.590 73.539
130.000 145.225 74.173
140.000 152.009 74.963
150.000 158.909 75.053
160.000 165.894 75.149
170.000 172.933 75.284
180.000 180.000 75.334
