Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.000
10.000 90.435 75.221
20.000 91.728 75.140
30.000 93.841 74.491
40.000 96.718 73.658
50.000 100.289 72.280
60.000 104.478 70.617
70.000 109.207 66.701
80.000 114.404 68.276
90.000 120.000 32.266
100.000 125.932 10.040
110.000 132.145 44.068
120.000 138.590 71.905
130.000 145.225 75.116
140.000 152.009 75.341
150.000 158.909 75.380
160.000 165.894 75.437
170.000 172.933 75.456
180.000 180.000 75.468
