Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 69.833
10.000 10.000 69.207
20.000 20.000 68.282
30.000 30.000 65.677
40.000 40.000 61.077
50.000 50.000 52.653
60.000 60.000 41.153
70.000 70.000 27.949
80.000 80.000 13.682
90.000 90.000 3.369
100.000 100.000 15.454
110.000 110.000 30.642
120.000 120.000 43.921
130.000 130.000 54.545
140.000 140.000 64.121
150.000 150.000 68.052
160.000 160.000 69.335
170.000 170.000 69.224
180.000 180.000 68.972
