Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 74.600
10.000 10.000 74.641
20.000 20.000 74.517
30.000 30.000 74.522
40.000 40.000 74.511
50.000 50.000 74.504
60.000 60.000 74.623
70.000 70.000 74.641
80.000 80.000 74.735
90.000 90.000 74.790
100.000 100.000 74.714
110.000 110.000 74.684
120.000 120.000 74.713
130.000 130.000 74.833
140.000 140.000 74.792
150.000 150.000 74.717
160.000 160.000 74.710
170.000 170.000 74.675
180.000 180.000 74.634
