Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 73.386
10.000 90.435 73.148
20.000 91.728 73.823
30.000 93.841 72.752
40.000 96.718 73.872
50.000 100.289 71.344
60.000 104.478 72.347
70.000 109.207 68.250
80.000 114.404 62.319
90.000 120.000 20.943
100.000 125.932 14.039
110.000 132.145 54.583
120.000 138.590 70.762
130.000 145.225 74.929
140.000 152.009 75.343
150.000 158.909 75.363
160.000 165.894 75.381
170.000 172.933 75.424
180.000 180.000 75.393
