Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 5.774
10.000 90.435 5.827
20.000 91.728 6.557
30.000 93.841 6.401
40.000 96.718 9.553
50.000 100.289 16.175
60.000 104.478 19.435
70.000 109.207 28.762
80.000 114.404 34.719
90.000 120.000 44.160
100.000 125.932 48.554
110.000 132.145 56.117
120.000 138.590 61.862
130.000 145.225 64.728
140.000 152.009 67.007
150.000 158.909 68.057
160.000 165.894 69.104
170.000 172.933 70.259
180.000 180.000 70.139
