Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.000
10.000 90.435 24.475
20.000 91.728 49.477
30.000 93.841 67.442
40.000 96.718 72.650
50.000 100.289 73.353
60.000 104.478 73.521
70.000 109.207 73.643
80.000 114.404 73.757
90.000 120.000 73.756
100.000 125.932 73.619
110.000 132.145 73.361
120.000 138.590 62.587
130.000 145.225 63.735
140.000 152.009 73.413
150.000 158.909 73.873
160.000 165.894 74.273
170.000 172.933 74.516
180.000 180.000 74.608
