Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.000
10.000 90.435 69.029
20.000 91.728 70.837
30.000 93.841 72.521
40.000 96.718 73.110
50.000 100.289 73.330
60.000 104.478 73.392
70.000 109.207 73.457
80.000 114.404 73.506
90.000 120.000 73.512
100.000 125.932 73.461
110.000 132.145 73.490
120.000 138.590 73.401
130.000 145.225 73.323
140.000 152.009 73.234
150.000 158.909 73.207
160.000 165.894 73.250
170.000 172.933 73.300
180.000 180.000 73.316
