Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 13.617
10.000 90.435 27.649
20.000 91.728 52.428
30.000 93.841 66.840
40.000 96.718 71.473
50.000 100.289 73.290
60.000 104.478 73.487
70.000 109.207 73.642
80.000 114.404 73.737
90.000 120.000 73.758
100.000 125.932 73.648
110.000 132.145 73.430
120.000 138.590 66.515
130.000 145.225 50.690
140.000 152.009 73.397
150.000 158.909 73.923
160.000 165.894 74.235
170.000 172.933 74.476
180.000 180.000 74.591
